_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
80	NF	P	full	1	spatial dimension	3
80	NF	P	ground	0	nature	1
80	NF	P	half 	1	continuous amount	1
80	NF	P	high	1	location and directions	1
80	NF	P	how	0	question	1
80	NF	P	i wonder	0	question	1
80	NF	P	in	1	location and directions	2
80	NF	P	is this	0	question	1
80	NF	P	light	0	adjective	2
80	NF	P	little	1	spatial dimension	2
80	NF	P	maybe	0	question	3
80	NF	P	ocean	0	nature	1
80	NF	P	part	1	continuous amount	3
80	NF	P	plants	0	nature	1
80	NF	P	right	1	location and directions	3
80	NF	P	sand	0	nature	1
80	NF	P	shiny	0	adjective	2
80	NF	P	some	1	continuous amount	2
80	NF	P	sun	0	nature	3
80	NF	P	surface	1	spatial features and properties	1
80	NF	P	tall	1	spatial dimension	1
80	NF	P	through	1	location and directions	1
80	NF	P	turn	1	orientation and transformation	1
80	NF	P	up	1	location and directions	4
80	NF	P	water	0	nature	5
80	NF	P	what	0	question	2
80	NF	P	when	0	question	4
80	NF	P	where	0	question	2
80	NF	P	whole	1	continuous amount	1
80	NF	P	why	0	question	1
80	NF	P	wide	1	spatial dimension	1
80	NF	P	with	1	location and directions	1
81	F	C	back	1	location and directions	1
81	F	C	close	1	location and directions	1
81	F	C	in	1	location and directions	1
81	F	P	above	1	location and directions	1
81	F	P	around	1	location and directions	1
81	F	P	away	1	location and directions	1
